time/time_elapsed,time/fps,train/ent_coef,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/actor_loss,time/episodes,train/learning_rate,rollout/ep_len_mean,time/total_timesteps
5113,51,0.030595064163208008,264505,2.3838419914245605,-1.4490582942962646,343.83665769,-31.50420379638672,416,0.0003,605.06,264606
5161,51,0.029280638322234154,267052,0.15944740176200867,0.15584611892700195,349.3596203,-28.419448852539062,420,0.0003,604.53,267153
5212,51,0.03131811320781708,269791,0.22738249599933624,-0.6847254633903503,357.91194640000003,-29.63958740234375,424,0.0003,612.0,269892
5260,51,0.03175259009003639,272368,0.17338603734970093,0.4432416558265686,361.9453942,-33.56237030029297,428,0.0003,612.43,272469
5309,51,0.03247784823179245,274983,0.3676682710647583,-0.43504929542541504,365.23149452999996,-36.43720245361328,432,0.0003,611.34,275084
5358,51,0.031161604449152946,277578,0.17359094321727753,0.21532808244228363,374.5751922999999,-33.46907043457031,436,0.0003,618.79,277679
5408,51,0.03152570500969887,280245,0.11396041512489319,-0.26769909262657166,383.20671298,-30.957130432128906,440,0.0003,626.48,280346
5454,51,0.03134520724415779,282732,0.1385088562965393,0.08005955815315247,389.27626308,-36.37248992919922,444,0.0003,631.33,282833
5504,51,0.03178516775369644,285406,0.1278410702943802,-0.5381206274032593,392.62959178999995,-34.9244499206543,448,0.0003,632.54,285507
5554,51,0.03215647488832474,288102,0.12900188565254211,-0.3913670480251312,403.4998176599999,-37.22743225097656,452,0.0003,646.03,288203
5601,51,0.03183627128601074,290601,1.4524128437042236,0.7556625604629517,405.74027379,-34.496849060058594,456,0.0003,645.02,290702
5648,51,0.031466200947761536,293153,0.2502128779888153,0.46857166290283203,412.78714963,-37.44369125366211,460,0.0003,650.97,293254
5697,51,0.03388480842113495,295776,0.1261088252067566,0.3750714063644409,414.88829286,-36.55499267578125,464,0.0003,650.31,295877
5747,51,0.03436068445444107,298404,0.11363585293292999,0.778719425201416,418.7205401700001,-38.33631134033203,468,0.0003,651.39,298505
5796,51,0.03429548069834709,300969,0.14602568745613098,0.2129269242286682,420.80424704999996,-38.77463150024414,472,0.0003,648.87,301070
5847,51,0.034282226115465164,303632,0.15923860669136047,-0.48583438992500305,424.20400678000004,-38.124786376953125,476,0.0003,650.03,303733
5899,51,0.035727109760046005,306211,0.13988935947418213,0.058712273836135864,429.30799774,-36.31516647338867,480,0.0003,650.88,306312
5961,51,0.035508476197719574,308843,0.1270478516817093,-0.02304844558238983,432.57665690999994,-40.131736755371094,484,0.0003,650.93,308944
6016,51,0.03324688971042633,311503,0.14193293452262878,0.29446911811828613,436.17142723999996,-41.306396484375,488,0.0003,652.02,311604
6069,51,0.033519890159368515,313963,0.172510027885437,-0.46121200919151306,437.10380784999995,-39.42738723754883,492,0.0003,649.35,314064
6125,51,0.035466037690639496,316572,0.12299099564552307,-0.052981048822402954,441.35925104,-39.05046844482422,496,0.0003,649.81,316673
6179,51,0.03601649031043053,319152,0.3347422480583191,-0.2362985759973526,444.37336384,-44.350887298583984,500,0.0003,650.76,319253
6235,51,0.03468457609415054,321838,0.13970637321472168,0.42645296454429626,446.50119592000004,-45.7620849609375,504,0.0003,651.52,321939
6286,51,0.03598678484559059,324312,0.11436779052019119,-0.21333466470241547,448.08469354999994,-38.24732971191406,508,0.0003,650.45,324413
6345,51,0.03618951141834259,327082,0.12241736054420471,-0.4230023920536041,451.22639009,-42.210357666015625,512,0.0003,651.62,327183
6396,51,0.036179374903440475,329475,0.15503337979316711,0.589013934135437,452.37258367999993,-42.788421630859375,516,0.0003,649.7,329576
6451,51,0.03654495254158974,332173,0.16358420252799988,0.6039727926254272,456.36694298,-44.77665328979492,520,0.0003,651.21,332274
6502,51,0.03722630813717842,334778,0.17633679509162903,0.1823100596666336,456.20325809999997,-41.042720794677734,524,0.0003,649.87,334879
6555,51,0.0381014384329319,337350,0.3869919776916504,0.6763623952865601,459.62782132,-46.033329010009766,528,0.0003,649.82,337451
6607,51,0.038003165274858475,339925,0.21100586652755737,0.3060741722583771,461.60511013999997,-43.72461700439453,532,0.0003,649.42,340026
6658,51,0.038599852472543716,342416,0.1724124252796173,0.010323703289031982,462.62704747,-49.209678649902344,536,0.0003,648.38,342517
6710,51,0.03674779087305069,345097,0.20035254955291748,0.6561684012413025,463.91716146,-42.53729248046875,540,0.0003,648.52,345198
6763,51,0.03848124295473099,347895,0.17441228032112122,-0.04910658672451973,469.20589956,-49.920135498046875,544,0.0003,651.63,347996
6809,51,0.03801029548048973,350308,0.3764178156852722,0.6557174921035767,468.30569067000005,-47.45248794555664,548,0.0003,649.02,350409
6860,51,0.03893272951245308,353014,0.1732717901468277,1.4807502031326294,471.3834016,-46.678165435791016,552,0.0003,649.12,353115
6909,51,0.039132654666900635,355626,3.595975399017334,0.09300932288169861,474.6906354899999,-43.35517120361328,556,0.0003,650.25,355727
6957,51,0.04056307300925255,358129,0.2504873275756836,-0.4247314929962158,476.53686154,-40.601924896240234,560,0.0003,649.76,358230
7010,51,0.037025414407253265,360740,0.31935423612594604,0.5809826850891113,478.05508702,-50.34204864501953,564,0.0003,649.64,360841
7061,51,0.039623524993658066,363518,0.35636138916015625,0.31986647844314575,482.02273042,-41.737205505371094,568,0.0003,651.14,363619
7110,51,0.03846554830670357,366031,19.290740966796875,-0.8026940822601318,482.34664576999995,-45.698936462402344,572,0.0003,650.62,366132
7155,51,0.03749300539493561,368411,0.16207903623580933,0.41541191935539246,484.20571489,-45.95627212524414,576,0.0003,647.79,368512
7206,51,0.037831176072359085,371145,0.4239964485168457,0.10153532028198242,489.20593610000003,-46.76362609863281,580,0.0003,649.34,371246
7260,51,0.038097187876701355,373789,0.17164036631584167,-1.0965969562530518,491.52652937999994,-46.02975082397461,584,0.0003,649.46,373890
7321,51,0.03775781765580177,376418,0.25080418586730957,0.2276153564453125,493.5522758999999,-49.17049026489258,588,0.0003,649.15,376519
7377,51,0.03874743729829788,378938,0.25702518224716187,0.4056549668312073,495.26476758999996,-48.72294616699219,592,0.0003,649.75,379039
7443,51,0.038067031651735306,381685,0.20288152992725372,0.23898664116859436,497.5184185400001,-46.72914123535156,596,0.0003,651.13,381786
7499,51,0.04024138301610947,384224,0.18850430846214294,-0.8644018769264221,496.97440348,-45.94585418701172,600,0.0003,650.72,384325
7552,51,0.040086016058921814,386750,0.18756103515625,-0.3007291555404663,497.93584167,-48.71240997314453,604,0.0003,649.12,386851
7603,51,0.039506714791059494,389451,0.13838061690330505,0.11253733932971954,501.62114937000007,-50.494895935058594,608,0.0003,651.39,389552
7654,51,0.03879420831799507,392069,0.2326269894838333,-0.13481488823890686,501.90406255,-49.31206512451172,612,0.0003,649.87,392170
7693,51,0.039901021867990494,393799,0.1903124898672104,0.46530836820602417,495.76843764,-48.275245666503906,616,0.0003,643.24,393900
7750,51,0.03950342535972595,396399,20.291889190673828,-0.1848878562450409,495.85479487,-48.416969299316406,620,0.0003,642.26,396500
7807,51,0.040801841765642166,398999,0.15679201483726501,-0.128860741853714,498.88577897000005,-51.16986083984375,624,0.0003,642.21,399100
