train/learning_rate,time/fps,time/total_timesteps,train/actor_loss,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,train/ent_coef,time/episodes,train/critic_loss,time/time_elapsed,rollout/ep_len_mean
0.0003,47,81900,-16.956939697265625,-0.006155058741569519,81799,57.98164784000001,0.027102740481495857,348,0.3261706829071045,1729,304.31
0.0003,47,83630,-17.720504760742188,-0.4476904571056366,83529,60.60454228,0.030054457485675812,352,0.3882495164871216,1762,306.2
0.0003,47,84976,-17.293474197387695,0.6878883838653564,84875,62.36037096,0.030267350375652313,356,1.164071798324585,1789,305.32
0.0003,47,86196,-20.36089515686035,0.4182797372341156,86095,64.11928567999999,0.029776252806186676,360,0.4333868622779846,1813,306.47
0.0003,47,87453,-19.82549285888672,-0.2646353542804718,87352,65.78083046,0.02854110859334469,364,0.3632834553718567,1838,306.88
0.0003,47,88742,-18.08310317993164,0.6479814648628235,88641,68.02507116999999,0.026900706812739372,368,0.5235611796379089,1864,308.57
0.0003,47,90090,-17.906301498413086,-0.4181186556816101,89989,70.38058866,0.027641907334327698,372,0.6395065784454346,1890,313.12
0.0003,47,91258,-19.67601203918457,0.7439121007919312,91157,72.01291791,0.028506282716989517,376,0.33061736822128296,1914,314.58
0.0003,47,92822,-19.55015754699707,0.7338828444480896,92721,75.75508846000001,0.030016547068953514,380,6.443804740905762,1945,318.4
0.0003,47,94387,-21.018470764160156,0.2088775932788849,94286,79.43033841,0.03060823306441307,384,0.5689184665679932,1975,324.53
0.0003,47,95666,-21.781421661376953,-0.027455464005470276,95565,81.50727624999999,0.029702335596084595,388,0.3085438907146454,2000,325.7
0.0003,47,97134,-20.253799438476562,-0.0535714328289032,97033,85.84915344,0.027601733803749084,392,0.3785545229911804,2029,327.93
0.0003,47,98627,-22.0754451751709,-0.15112780034542084,98526,89.95903793,0.026826610788702965,396,0.393963098526001,2058,333.04
