Env,roll,pitch,yaw
0.0,0.17150594,-0.008198181,-0.4803682
0.0,0.17116101,-0.0073090675,-0.4800137
0.0,0.17082001,-0.006440055,-0.47969422
0.0,0.17048275,-0.005592035,-0.47940674
0.0,0.17014894,-0.0047658007,-0.47914833
0.0,0.16981839,-0.003962082,-0.47891578
0.0,0.16949096,-0.0031815504,-0.47870603
0.0,0.1691666,-0.0024247975,-0.4785161
0.0,0.16884512,-0.001692396,-0.47834268
0.0,0.16852653,-0.0009848482,-0.4781827
0.0,0.16821082,-0.00030262486,-0.47803316
0.0,0.167898,0.00035384178,-0.47789097
0.0,0.16758803,0.0009841702,-0.47775316
0.0,0.16728102,0.0015880822,-0.4776168
0.0,0.16697702,0.0021652768,-0.47747895
0.0,0.16667616,0.0027155974,-0.47733697
0.0,0.16637853,0.0032388745,-0.47718802
0.0,0.16608429,0.00373498,-0.47702974
0.0,0.16579358,0.004203856,-0.47685942
0.0,0.16550654,0.0046454947,-0.47667497
0.0,0.16522333,0.0050599077,-0.47647408
0.0,0.16494411,0.005447142,-0.4762547
0.0,0.1646691,0.0058073243,-0.47601494
0.0,0.16439842,0.0061405776,-0.47575316
0.0,0.16413227,0.0064470912,-0.4754677
0.0,0.1638708,0.0067270976,-0.47515705
0.0,0.16361421,0.006980855,-0.47482014
0.0,0.16336268,0.0072086994,-0.47445577
0.0,0.1631163,0.007410994,-0.47406304
0.0,0.16287532,0.0075881802,-0.47364125
0.0,0.1626398,0.0077407034,-0.4731897
0.0,0.1624099,0.007869105,-0.4727082
0.0,0.1621857,0.007973941,-0.47219616
0.0,0.16196737,0.008055847,-0.47165364
0.0,0.16175497,0.008115504,-0.47108072
0.0,0.16154855,0.008153674,-0.4704775
0.0,0.16134822,0.008171093,-0.46984425
0.0,0.16115402,0.008168646,-0.46918154
0.0,0.16096596,0.008147205,-0.46848992
0.0,0.16078407,0.008107726,-0.46777007
0.0,0.16060837,0.008051206,-0.46702287
0.0,0.16043884,0.007978667,-0.46624914
0.0,0.16027549,0.007891193,-0.46545002
0.0,0.16011831,0.0077899187,-0.46462664
0.0,0.15996726,0.0076759825,-0.46378013
0.0,0.1598223,0.007550584,-0.4629118
0.0,0.1596834,0.007414912,-0.46202296
0.0,0.15955052,0.007270225,-0.4611151
0.0,0.1594236,0.007117797,-0.46018958
0.0,0.15930262,0.00695888,-0.4592481
0.0,0.15918748,0.0067947563,-0.458292
