Env,air_speed
0.0,30.779203
0.0,30.770374
0.0,30.761585
0.0,30.752838
0.0,30.744127
0.0,30.735456
0.0,30.726818
0.0,30.718212
0.0,30.709631
0.0,30.701073
0.0,30.692535
0.0,30.684011
0.0,30.675495
0.0,30.666985
0.0,30.658476
0.0,30.64996
0.0,30.641436
0.0,30.632898
0.0,30.62434
0.0,30.615759
0.0,30.607151
0.0,30.598515
0.0,30.58984
0.0,30.581131
0.0,30.57238
0.0,30.56359
0.0,30.554756
0.0,30.54588
0.0,30.536959
0.0,30.527992
0.0,30.518984
0.0,30.509932
0.0,30.500837
0.0,30.491705
0.0,30.482536
0.0,30.473333
0.0,30.4641
0.0,30.454838
0.0,30.445555
0.0,30.436249
0.0,30.426926
0.0,30.417591
0.0,30.408247
0.0,30.398901
0.0,30.389553
0.0,30.380207
0.0,30.37087
0.0,30.361546
0.0,30.352234
0.0,30.34294
0.0,30.333664
0.0,30.324415
0.0,30.31519
0.0,30.30599
0.0,30.296822
0.0,30.287682
0.0,30.278576
0.0,30.269499
0.0,30.260458
0.0,30.25145
0.0,30.242472
0.0,30.233526
0.0,30.224613
0.0,30.215729
0.0,30.206875
0.0,30.198048
0.0,30.189247
0.0,30.180471
0.0,30.17172
0.0,30.16299
0.0,30.15428
0.0,30.145588
0.0,30.136913
0.0,30.128252
0.0,30.119604
0.0,30.110968
0.0,30.102343
0.0,30.093727
0.0,30.085117
0.0,30.076515
0.0,30.067919
0.0,30.059326
0.0,30.050737
0.0,30.042154
0.0,30.033571
0.0,30.024992
0.0,30.016415
0.0,30.007837
0.0,29.999264
0.0,29.990692
0.0,29.98212
0.0,29.973549
0.0,29.964981
0.0,29.956415
0.0,29.94785
0.0,29.939283
0.0,29.930721
0.0,29.922157
0.0,29.913597
0.0,29.905033
0.0,29.896471
0.0,29.887907
0.0,29.879343
0.0,29.870775
0.0,29.862204
0.0,29.853628
0.0,29.845049
0.0,29.836462
0.0,29.827868
0.0,29.819265
0.0,29.810652
0.0,29.802025
0.0,29.793383
0.0,29.784727
0.0,29.776054
0.0,29.767365
0.0,29.758652
0.0,29.749918
0.0,29.741158
0.0,29.732372
0.0,29.724648
0.0,29.717648
0.0,29.711676
0.0,29.70682
0.0,29.703024
0.0,29.700151
0.0,29.698051
0.0,29.696564
0.0,29.695562
0.0,29.69444
0.0,29.690584
0.0,29.680851
0.0,29.664474
0.0,29.640163
0.0,29.616657
0.0,29.597858
0.0,29.583128
0.0,29.5712
0.0,29.563782
0.0,29.560495
0.0,29.558475
0.0,29.556273
0.0,29.552364
0.0,29.545732
0.0,29.536879
0.0,29.523956
0.0,29.506487
0.0,29.486467
0.0,29.464294
0.0,29.439903
0.0,29.412832
0.0,29.382826
0.0,29.349829
0.0,29.313843
0.0,29.275085
0.0,29.233864
0.0,29.19037
0.0,29.144596
0.0,29.097115
0.0,29.048286
0.0,28.998283
0.0,28.947315
0.0,28.895575
0.0,28.84362
0.0,28.790854
0.0,28.738108
0.0,28.684628
0.0,28.630507
0.0,28.576342
0.0,28.522318
0.0,28.468567
0.0,28.415232
0.0,28.362501
0.0,28.310213
0.0,28.258064
0.0,28.206097
0.0,28.154955
0.0,28.104338
0.0,28.054377
0.0,28.004942
0.0,27.956026
0.0,27.90763
0.0,27.85949
0.0,27.811466
0.0,27.763405
0.0,27.715668
0.0,27.66844
0.0,27.621365
0.0,27.574846
0.0,27.529062
0.0,27.48417
0.0,27.440138
0.0,27.396957
0.0,27.354782
0.0,27.313597
0.0,27.273287
0.0,27.234371
0.0,27.196678
0.0,27.160032
0.0,27.1245
0.0,27.090391
0.0,27.057646
0.0,27.026316
0.0,26.99674
0.0,26.968775
0.0,26.94248
0.0,26.918043
0.0,26.895807
0.0,26.875858
0.0,26.85807
0.0,26.842594
0.0,26.829578
0.0,26.81926
0.0,26.811403
0.0,26.806017
0.0,26.803486
0.0,26.803688
0.0,26.806765
0.0,26.813625
0.0,26.825008
0.0,26.840971
0.0,26.861858
0.0,26.887983
0.0,26.920227
0.0,26.95925
0.0,27.00531
0.0,27.058676
0.0,27.119232
0.0,27.187174
0.0,27.262518
0.0,27.345497
0.0,27.435965
0.0,27.533644
0.0,27.638662
0.0,27.750805
0.0,27.86974
0.0,27.995682
0.0,28.128492
0.0,28.26805
0.0,28.414162
0.0,28.5666
0.0,28.725107
0.0,28.889376
0.0,29.05906
0.0,29.233782
0.0,29.413147
0.0,29.596724
0.0,29.784252
0.0,29.975073
0.0,30.168715
0.0,30.364695
0.0,30.562517
0.0,30.761684
0.0,30.961681
0.0,31.161993
0.0,31.362104
0.0,31.5615
0.0,31.75966
0.0,31.956083
0.0,32.15027
0.0,32.34173
0.0,32.529823
0.0,32.71423
0.0,32.89451
0.0,33.070255
0.0,33.241333
0.0,33.406967
0.0,33.56691
0.0,33.719986
0.0,33.865894
0.0,34.0052
0.0,34.137398
0.0,34.26257
0.0,34.380505
0.0,34.491318
0.0,34.595043
0.0,34.691933
0.0,34.782097
0.0,34.865696
0.0,34.94314
0.0,35.01475
0.0,35.08044
0.0,35.14041
0.0,35.1949
0.0,35.24421
0.0,35.288475
0.0,35.32802
0.0,35.363
0.0,35.39369
0.0,35.420353
0.0,35.44319
0.0,35.46255
0.0,35.47861
0.0,35.491596
0.0,35.50183
0.0,35.509506
0.0,35.514782
0.0,35.517803
0.0,35.5186
0.0,35.517357
0.0,35.51415
0.0,35.508957
0.0,35.501816
0.0,35.49276
0.0,35.481888
0.0,35.469105
0.0,35.4544
0.0,35.437744
0.0,35.419193
0.0,35.398624
0.0,35.376003
0.0,35.3513
0.0,35.324543
0.0,35.295628
0.0,35.26454
0.0,35.231274
0.0,35.195827
