Env,px,py,pz,q1,q2,q3,q4,vx,vy,vz,wx,wy,wz
0.0,0.0,0.0,7.0497274,0.1370828,-0.26608765,-0.7221985,0.62356645,6.6075506,32.29714,-6.0051064,0.066319704,-0.29892522,-0.10322499
0.0,0.0,0.0,6.9896765,0.13823147,-0.26685056,-0.7224027,0.6227497,6.5802045,32.296505,-5.976447,0.06159867,-0.27399993,-0.07145778
0.0,0.0,0.0,6.929912,0.13931747,-0.26753032,-0.72251725,0.62208277,6.5508795,32.29624,-5.9455595,0.056516666,-0.24960622,-0.03981028
0.0,0.0,0.0,6.8704567,0.14034161,-0.26813003,-0.7225422,0.62156516,6.5194945,32.296444,-5.912586,0.05113866,-0.2257692,-0.008389186
0.0,0.0,0.0,6.811331,0.14130484,-0.26865268,-0.72247803,0.6211959,6.485979,32.2972,-5.87768,0.04554028,-0.20251241,0.02270801
0.0,0.0,0.0,6.752554,0.14220825,-0.26910096,-0.7223252,0.6209734,6.450268,32.29859,-5.840992,0.039804768,-0.17985758,0.05339217
0.0,0.0,0.0,6.6941442,0.14305317,-0.26947755,-0.72208476,0.6208956,6.412299,32.300697,-5.802673,0.034021348,-0.157825,0.083582245
0.0,0.0,0.0,6.6361175,0.14384115,-0.26978478,-0.7217579,0.6209601,6.3720155,32.303585,-5.762867,0.028284825,-0.13643369,0.11320626
0.0,0.0,0.0,6.578489,0.14457399,-0.2700248,-0.7213462,0.621164,6.329358,32.30731,-5.7217093,0.022692822,-0.11570179,0.14220017
0.0,0.0,0.0,6.5212717,0.14525369,-0.2701994,-0.7208512,0.621504,6.284269,32.311913,-5.6793222,0.017345171,-0.09564545,0.17050812
0.0,0.0,0.0,6.4644785,0.1458826,-0.27031013,-0.7202749,0.62197644,6.2366843,32.317432,-5.635812,0.0123420525,-0.07627893,0.1980814
0.0,0.0,0.0,6.40812,0.14646333,-0.2703583,-0.7196196,0.6225774,6.1865425,32.32389,-5.591272,0.0077857366,-0.057614397,0.22488044
0.0,0.0,0.0,6.3522077,0.14699876,-0.27034476,-0.7188873,0.6233026,6.1337748,32.331295,-5.545776,0.0037767496,-0.03966187,0.25087237
0.0,0.0,0.0,6.29675,0.1474921,-0.27027023,-0.7180809,0.62414753,6.0783052,32.33964,-5.4993734,0.00041202107,-0.022429558,0.27603033
0.0,0.0,0.0,6.2417564,0.14794676,-0.2701349,-0.7172027,0.62510735,6.020055,32.34891,-5.452096,-0.0022147272,-0.0059251916,0.30033368
0.0,0.0,0.0,6.1872354,0.14836657,-0.2699389,-0.71625584,0.6261773,5.958935,32.359077,-5.403948,-0.0040197885,0.009840049,0.3237646
0.0,0.0,0.0,6.133196,0.14875554,-0.26968193,-0.7152431,0.62735224,5.894854,32.37009,-5.3549156,-0.004923976,0.024857933,0.34631038
