rollout/ep_len_mean,train/actor_loss,train/n_updates,train/learning_rate,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/ent_coef_loss,time/total_timesteps,train/ent_coef,time/episodes,train/critic_loss
141.06,-7.786317825317383,24301,0.0003,2.3996872299999996,42,574,1.3056573867797852,24402,0.0045026568695902824,172,0.0669277235865593
139.81,-7.441347122192383,24747,0.0003,2.5708419599999996,42,585,1.2242546081542969,24848,0.004454196896404028,176,0.04948369041085243
140.45,-7.606243133544922,25337,0.0003,3.0000908000000006,42,599,-2.2371082305908203,25438,0.004474539775401354,180,0.6413238048553467
139.75,-7.177062034606934,25899,0.0003,3.4455521,42,613,-0.36142081022262573,26000,0.004393379203975201,184,0.09779732674360275
139.05,-7.164119243621826,26492,0.0003,4.011444290000001,42,627,-1.0489308834075928,26593,0.0042815376073122025,188,0.05446573346853256
138.57,-6.939948558807373,27090,0.0003,4.59155315,42,641,2.1919050216674805,27191,0.0043510133400559425,192,0.06745892018079758
137.46,-6.922443389892578,27659,0.0003,5.05286286,42,654,-1.2695741653442383,27760,0.004226644989103079,196,0.3036594092845917
137.49,-6.875766277313232,28278,0.0003,5.5385579599999994,42,669,0.7708805799484253,28379,0.004170150496065617,200,0.13150450587272644
136.59,-6.588963508605957,28805,0.0003,6.01444272,42,682,-0.2797238826751709,28906,0.003986455500125885,204,0.074990414083004
137.74,-6.528347969055176,29437,0.0003,6.50555709,42,696,-1.9657119512557983,29538,0.0038403950165957212,208,0.1151687502861023
136.33,-6.353384494781494,29954,0.0003,6.94914721,42,709,-2.5768139362335205,30055,0.0036830890458077192,212,0.10460402071475983
136.02,-6.268335819244385,30562,0.0003,7.476272629999999,42,723,-0.8854986429214478,30663,0.0037022538017481565,216,0.045946672558784485
134.82,-6.049158096313477,31099,0.0003,7.942321369999999,42,736,1.019639492034912,31200,0.003639581147581339,220,0.04104975610971451
136.25,-5.934858798980713,31724,0.0003,8.234050430000002,42,751,2.340669631958008,31825,0.0035550480242818594,224,0.052851609885692596
136.51,-5.843646049499512,32351,0.0003,8.15168791,42,765,1.1549115180969238,32452,0.003594114677980542,228,0.05953729525208473
135.68,-5.783225059509277,32873,0.0003,7.82877209,42,778,1.39052152633667,32974,0.003603974124416709,232,0.055733319371938705
136.07,-5.618137359619141,33436,0.0003,7.805474960000001,42,791,0.11727212369441986,33537,0.0035041652154177427,236,0.03959347680211067
135.8,-5.668278217315674,34004,0.0003,7.633950240000001,42,805,-0.676838755607605,34105,0.003538015065714717,240,0.036266930401325226
136.04,-5.499682426452637,34603,0.0003,7.402404610000001,42,820,0.6888667941093445,34704,0.0037948836106806993,244,0.04466951638460159
135.44,-5.364627361297607,35147,0.0003,7.2291672600000005,42,833,2.398221492767334,35248,0.004015258979052305,248,0.04288325086236
135.82,-5.480254650115967,35737,0.0003,7.300216300000001,42,850,-1.14145827293396,35838,0.004189673345535994,252,0.05006561055779457
138.66,-5.265395164489746,36299,0.0003,7.622329499999999,42,863,-1.4022384881973267,36400,0.00417933939024806,256,0.13036340475082397
140.8,-5.127596855163574,36899,0.0003,7.924267279999999,42,878,-0.45453712344169617,37000,0.004039617255330086,260,0.03838331997394562
142.21,-5.345081329345703,37492,0.0003,8.19456179,42,892,-0.15985950827598572,37593,0.0038533636834472418,264,0.06964710354804993
143.31,-5.2418622970581055,38036,0.0003,8.391121609999999,42,905,-1.65291428565979,38137,0.003654535161331296,268,0.037358012050390244
143.16,-5.016545295715332,38617,0.0003,8.414870819999999,42,919,0.44884544610977173,38718,0.0036075261887162924,272,0.03412830829620361
144.48,-5.129953384399414,39195,0.0003,8.606834430000001,42,933,1.1079201698303223,39296,0.00350743206217885,276,0.03930759057402611
144.46,-5.028588771820068,39783,0.0003,8.677582229999999,42,947,1.1053242683410645,39884,0.003680519061163068,280,0.04495735839009285
144.47,-4.919095039367676,40346,0.0003,8.73095455,42,960,-0.5390973091125488,40447,0.0036615508142858744,284,0.042607199400663376
144.48,-5.013221740722656,40940,0.0003,8.879561749999999,42,974,2.3552112579345703,41041,0.0036225593648850918,288,0.15611979365348816
144.09,-5.1652727127075195,41499,0.0003,8.81778438,42,987,0.3215436041355133,41600,0.003651633160188794,292,0.08054520934820175
144.14,-5.153957366943359,42073,0.0003,8.835801470000002,42,1001,-1.6164056062698364,42174,0.003580044489353895,296,0.04471983760595322
143.76,-4.803140640258789,42654,0.0003,8.8477394,42,1015,2.4015541076660156,42755,0.0035562857519835234,300,0.05746918171644211
142.9,-5.230836868286133,43095,0.0003,8.80121315,42,1026,-1.2727982997894287,43196,0.0036711925640702248,304,0.03975319862365723
142.3,-4.764965057373047,43667,0.0003,8.670094,42,1040,-0.12276628613471985,43768,0.0036575074773281813,308,0.040224120020866394
141.45,-5.136727333068848,44099,0.0003,8.70393851,42,1051,-0.8354492783546448,44200,0.003624518634751439,312,0.0276653915643692
141.54,-4.9421000480651855,44716,0.0003,8.83203969,42,1065,-0.7203824520111084,44817,0.003623504424467683,316,0.20198750495910645
141.78,-4.640551567077637,45277,0.0003,8.98004666,42,1079,-0.09127193689346313,45378,0.003568526590242982,320,0.028411464765667915
140.58,-5.01230525970459,45782,0.0003,8.87785385,42,1091,-1.1650891304016113,45883,0.003419146640226245,324,0.08510874211788177
140.0,-5.009279251098633,46351,0.0003,8.75937239,42,1105,-0.0253104567527771,46452,0.003272625617682934,328,0.05055537819862366
139.66,-4.924540042877197,46839,0.0003,8.63319163,41,1118,-1.6720167398452759,46940,0.0032888276036828756,332,0.08476072549819946
139.78,-4.9388532638549805,47414,0.0003,8.77919171,41,1132,-1.7564293146133423,47515,0.003191195195540786,336,0.23250871896743774
139.95,-4.775443077087402,47999,0.0003,9.002836339999998,41,1147,0.9354804754257202,48100,0.003219061065465212,340,0.03412311151623726
140.04,-4.514847755432129,48607,0.0003,9.150547240000002,41,1162,-0.02482128143310547,48708,0.0031323235016316175,344,0.05207681283354759
140.75,-4.724393844604492,49222,0.0003,9.419018159999998,41,1177,-0.7648981809616089,49323,0.003029885236173868,348,0.020604178309440613
140.16,-4.698604106903076,49753,0.0003,9.41756004,41,1191,-0.7978070378303528,49854,0.003100135363638401,352,0.13220173120498657
