time/time_elapsed,train/ent_coef,train/n_updates,train/learning_rate,train/ent_coef_loss,train/actor_loss,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/critic_loss,time/total_timesteps
1914,0.02125692367553711,69499,0.0003,-0.8495750427246094,-23.31247329711914,516,47.95909117,36,100.0,1.880120038986206,69600
1926,0.021246744319796562,69899,0.0003,0.25524717569351196,-23.30603790283203,520,48.22598297,36,100.0,0.32342904806137085,70000
1938,0.02122853323817253,70299,0.0003,1.124771237373352,-23.51830291748047,524,48.49656626,36,100.0,4.124814033508301,70400
1950,0.021730149164795876,70699,0.0003,0.4202972650527954,-22.158641815185547,528,48.761424149999996,36,100.0,5.134328842163086,70800
1962,0.021540481597185135,71099,0.0003,-1.262602686882019,-22.474454879760742,532,48.927111409999995,36,100.0,1.6598047018051147,71200
1974,0.021498819813132286,71499,0.0003,0.3443238139152527,-22.47608184814453,536,49.166326479999995,36,100.0,1.0281472206115723,71600
1986,0.021494951099157333,71899,0.0003,-0.6952908039093018,-23.028541564941406,540,49.347688289999994,36,100.0,2.1202054023742676,72000
1998,0.02110879309475422,72299,0.0003,0.050151318311691284,-23.49964141845703,544,49.49365280000001,36,100.0,6.030675888061523,72400
2010,0.02092510089278221,72699,0.0003,1.1978750228881836,-22.489971160888672,548,49.788224920000005,36,100.0,0.5742959380149841,72800
2022,0.02073577418923378,73099,0.0003,-0.7879259586334229,-23.00765609741211,552,49.85969891,36,100.0,0.5081634521484375,73200
2034,0.021018654108047485,73499,0.0003,-0.9483801126480103,-23.01883888244629,556,49.98937656000001,36,100.0,3.4396538734436035,73600
2045,0.020633533596992493,73899,0.0003,0.689633846282959,-22.00240135192871,560,50.18096399,36,100.0,0.3656908869743347,74000
2057,0.02017645351588726,74299,0.0003,-0.023124754428863525,-22.448448181152344,564,50.515435890000006,36,100.0,2.661025285720825,74400
2070,0.020305771380662918,74699,0.0003,0.765746533870697,-22.930822372436523,568,50.65957735,36,100.0,2.411482334136963,74800
2082,0.020772216841578484,75099,0.0003,-0.0902051329612732,-23.324512481689453,572,50.86984450999999,36,100.0,1.9386532306671143,75200
2093,0.021018313243985176,75499,0.0003,-0.09267967939376831,-21.996570587158203,576,51.07328294999999,36,100.0,0.37038668990135193,75600
2105,0.021192945539951324,75899,0.0003,-0.7916777729988098,-23.99265480041504,580,51.16733732000001,36,100.0,1.102383017539978,76000
2117,0.021318545565009117,76299,0.0003,-0.7017574906349182,-22.86591911315918,584,51.229662620000006,36,100.0,1.8063609600067139,76400
2128,0.02190515026450157,76699,0.0003,-0.36859074234962463,-22.893898010253906,588,51.40439818000001,36,100.0,4.732154846191406,76800
2140,0.021923620253801346,77099,0.0003,-0.043255895376205444,-22.647750854492188,592,51.53465464999999,36,100.0,5.6330108642578125,77200
2152,0.021896105259656906,77499,0.0003,0.6871026158332825,-23.26841926574707,596,51.64473451,36,100.0,4.618524551391602,77600
2163,0.022474141791462898,77899,0.0003,0.48915475606918335,-24.3341064453125,600,51.737824370000006,36,100.0,0.6827816963195801,78000
2175,0.021733397617936134,78299,0.0003,0.37160277366638184,-23.329219818115234,604,51.877662050000005,36,100.0,1.1291894912719727,78400
2186,0.021275537088513374,78699,0.0003,1.271430253982544,-23.791170120239258,608,52.20946819000001,36,100.0,2.1532373428344727,78800
2199,0.021770497784018517,79099,0.0003,0.18979957699775696,-22.982006072998047,612,52.27984985999999,36,100.0,2.341256618499756,79200
2211,0.02204696275293827,79499,0.0003,0.48162078857421875,-24.66552734375,616,52.60094094000001,35,100.0,2.032378673553467,79600
2226,0.02252769283950329,80078,0.0003,-0.22533267736434937,-23.098285675048828,620,53.86473923000001,36,101.79,0.6902432441711426,80179
2238,0.022885281592607498,80470,0.0003,1.1038780212402344,-22.801864624023438,624,54.02411735,35,101.71,2.838594436645508,80571
2249,0.02300744131207466,80866,0.0003,0.10258567333221436,-23.198209762573242,628,54.1578324,35,101.67,1.8909447193145752,80967
2261,0.02310565859079361,81277,0.0003,-0.19655027985572815,-22.941207885742188,632,54.53907697,35,101.78,0.817319393157959,81378
2272,0.0229420717805624,81675,0.0003,2.7276430130004883,-23.55397605895996,636,54.758370619999994,35,101.76,3.9443087577819824,81776
2284,0.02291150391101837,82067,0.0003,0.28297924995422363,-23.57567596435547,640,54.95914328,35,101.68,6.625924110412598,82168
2295,0.023255445063114166,82480,0.0003,-0.611189603805542,-24.40036964416504,644,55.570446790000005,35,101.81,0.22613835334777832,82581
2306,0.023380883038043976,82873,0.0003,-0.13703958690166473,-23.94760513305664,648,55.90035703,35,101.74,2.666921615600586,82974
