Env,px,py,pz,q1,q2,q3,q4,vx,vy,vz,wx,wy,wz
0.0,-0.95554596,2.9798727,5.300091,0.62512785,-0.23798469,-0.4673699,0.57805175,-7.1769323,24.60187,7.428188,0.14450926,-0.34589773,1.0138613
0.0,-1.0273153,3.2258914,5.3743725,0.62755114,-0.23547433,-0.46352366,0.5795493,-7.183371,24.524143,7.3444014,0.25659794,-0.5698355,0.9850242
0.0,-1.099149,3.4711328,5.4478164,0.63076437,-0.23343614,-0.4591756,0.5803463,-7.2662354,24.322842,7.2583866,0.26473674,-0.6885694,0.7127807
0.0,-1.1718113,3.7143612,5.5204,0.63393694,-0.23257531,-0.45523864,0.58033645,-7.293612,24.19544,7.1747136,0.044339105,-0.38606092,0.7661903
0.0,-1.2447474,3.9563155,5.5921474,0.6358295,-0.23116392,-0.45183912,0.5814856,-7.336282,24.085283,7.0968003,0.11320949,-0.5661298,0.59784806
0.0,-1.3181102,4.1971684,5.6631155,0.63812315,-0.23065151,-0.44842812,0.58181703,-7.3462076,24.021286,7.021606,0.18578026,-0.72894824,0.5541174
0.0,-1.3915724,4.4373813,5.7333317,0.64093,-0.23058502,-0.44469973,0.5816196,-7.3740883,23.937346,6.947878,0.018145487,-0.5223794,0.56638396
0.0,-1.4653132,4.676755,5.8028107,0.6427925,-0.23024705,-0.44139627,0.5822143,-7.328954,23.898666,6.8668404,-0.010561654,-0.49165684,0.7657218
0.0,-1.5386027,4.9157414,5.871479,0.6447217,-0.22923823,-0.43757033,0.5833661,-7.350896,23.84999,6.7970386,0.01897668,-0.57716846,0.7642719
0.0,-1.6121117,5.1542416,5.9394493,0.6469084,-0.2284139,-0.4334973,0.5843088,-7.4154105,23.700909,6.718855,0.05038157,-0.6983457,0.54974234
0.0,-1.6862658,5.3912506,6.006638,0.64919066,-0.22856452,-0.42968565,0.58453405,-7.374069,23.621943,6.6331515,0.16330001,-0.8836001,0.67777807
0.0,-1.7600065,5.62747,6.0729694,0.6523305,-0.22859249,-0.4250165,0.5844411,-7.446976,23.532753,6.5664167,0.14440887,-0.911515,0.5918967
0.0,-1.8344764,5.8627977,6.1386337,0.6553562,-0.22901523,-0.42047253,0.5841774,-7.3996544,23.4298,6.476031,0.24910444,-1.0749651,0.7930445
0.0,-1.9084729,6.0970955,6.203394,0.6592366,-0.22902745,-0.41490936,0.5837839,-7.512503,23.214622,6.392736,0.14467022,-1.0105987,0.57610685
0.0,-1.9835979,6.3292418,6.267321,0.66240376,-0.22977428,-0.41005528,0.5833349,-7.61343,23.00399,6.3058443,-0.010552987,-0.8764861,0.3889472
0.0,-2.0597322,6.559282,6.3303795,0.66460925,-0.2310615,-0.40600115,0.58315367,-7.6333556,22.927279,6.2273636,0.06722061,-1.0093905,0.41992536
0.0,-2.1360657,6.7885547,6.392653,0.66732943,-0.23246928,-0.40149415,0.5826078,-7.5443134,22.776653,6.120012,-0.1552029,-0.75718963,0.77027804
0.0,-2.2115088,7.016321,6.453853,0.6692828,-0.23241298,-0.39653754,0.5837832,-7.622161,22.6018,6.027734,-0.38646787,-0.51237094,0.6985284
0.0,-2.2877305,7.242339,6.5141306,0.6699748,-0.23233461,-0.39233047,0.5858595,-7.6695046,22.487513,5.939404,-0.5671542,-0.32398176,0.78029656
0.0,-2.3644254,7.467214,6.5735245,0.6698467,-0.2317793,-0.38829556,0.58890605,-7.775252,22.332035,5.848867,-0.7108927,-0.18155472,0.66470164
0.0,-2.442178,7.6905346,6.6320133,0.66886806,-0.231465,-0.38490167,0.59235984,-7.8800845,22.163254,5.7543187,-0.68071914,-0.2377883,0.44038025
0.0,-2.520979,7.912167,6.6895566,0.66781324,-0.23200448,-0.38201088,0.5952034,-7.9261193,21.932543,5.6417904,-0.53252316,-0.43714806,0.14093888
0.0,-2.6002402,8.131493,6.7459745,0.6672228,-0.23385054,-0.37951168,0.59673995,-7.9524007,21.832325,5.5476885,-0.7169121,-0.23174337,0.104139864
0.0,-2.6797643,8.349816,6.801451,0.6656405,-0.23555326,-0.37758687,0.599054,-7.9201083,21.775558,5.4506583,-0.5404136,-0.47567534,0.056502026
0.0,-2.7589653,8.567572,6.855958,0.664982,-0.23780869,-0.37519553,0.6003951,-7.8700294,21.76674,5.358104,-0.44493914,-0.61392516,0.14783667
0.0,-2.8376656,8.785239,6.909539,0.6649689,-0.23999305,-0.3721787,0.60141736,-7.766566,21.745401,5.2558875,-0.4742802,-0.58535206,0.43245804
0.0,-2.9153311,9.002693,6.962098,0.6651446,-0.2411957,-0.36835942,0.6030909,-7.800221,21.70879,5.1657686,-0.45256338,-0.62404466,0.3793691
0.0,-2.9933333,9.219781,7.013756,0.6653807,-0.24264711,-0.3645909,0.6045366,-7.7159605,21.636103,5.0550094,-0.28632858,-0.8338434,0.576265
0.0,-3.070493,9.436142,7.064306,0.66672516,-0.24376895,-0.35972255,0.6055196,-7.791695,21.543444,4.9585776,-0.39900014,-0.7125466,0.5079005
0.0,-3.1484098,9.651576,7.1138916,0.6674101,-0.24494791,-0.35531905,0.6068877,-7.8696795,21.470045,4.862478,-0.37832525,-0.7385935,0.46202996
