train/n_updates,train/critic_loss,train/ent_coef,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,time/episodes,train/actor_loss
31078,0.02522415854036808,0.004107746295630932,35,870,31179,72.46,13.738021019999998,0.0003,-0.5123759508132935,428,-7.757586479187012
31324,0.033447738736867905,0.003995351959019899,35,877,31425,71.86,13.570867849999999,0.0003,0.1516285091638565,432,-7.49690580368042
31624,0.019770082086324692,0.0038429100532084703,35,885,31725,71.8,13.54425576,0.0003,-1.7984716892242432,436,-7.972969055175781
31922,0.029644086956977844,0.0037958177272230387,35,894,32023,72.47,13.699265549999998,0.0003,-1.7309844493865967,440,-7.598969459533691
32222,0.023826871067285538,0.003764461725950241,35,902,32323,72.45,13.7556053,0.0003,0.5569823980331421,444,-7.794572830200195
32474,0.020910456776618958,0.0038440353237092495,35,909,32575,71.96,13.61293956,0.0003,0.13339093327522278,448,-7.626132965087891
32773,0.016806934028863907,0.0039534661918878555,35,917,32874,71.91,13.577287229999998,0.0003,0.019611626863479614,452,-7.678257942199707
33072,0.028207484632730484,0.00400895532220602,35,926,33173,71.88,13.55050376,0.0003,1.3816914558410645,456,-7.345761299133301
33372,0.022450648248195648,0.004034548997879028,35,934,33473,72.47,13.687430589999996,0.0003,1.906225562095642,460,-7.759479522705078
33672,0.036494575440883636,0.003979166969656944,35,942,33773,72.44,13.668077230000002,0.0003,-1.216268539428711,464,-7.722779273986816
33924,0.02535899169743061,0.004092641174793243,35,950,34025,71.95,13.519293160000002,0.0003,2.49613356590271,468,-7.493680953979492
34224,0.45328378677368164,0.0040673441253602505,35,958,34325,71.94,13.527278099999998,0.0003,-0.2932461202144623,472,-7.9729790687561035
34524,0.021914765238761902,0.003991292789578438,35,966,34625,72.49,13.672209099999998,0.0003,-2.0798180103302,476,-7.80396842956543
34826,0.01585785299539566,0.0038115298375487328,35,974,34927,72.47,13.66233679,0.0003,-2.438627004623413,480,-8.006640434265137
35074,0.01880831830203533,0.0038187357131391764,35,981,35175,71.9,13.507450449999999,0.0003,-0.6713069677352905,484,-7.77630090713501
35374,0.032942332327365875,0.0036971289664506912,35,989,35475,71.85,13.491489539999998,0.0003,-1.390251874923706,488,-7.71635627746582
