time/time_elapsed,time/fps,time/total_timesteps,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/episodes,rollout/ep_len_mean,train/ent_coef
1349,45,61111,-0.5883798599243164,160910,0.0003,8.407319546677172e-05,1.74283385,0.791115939617157,452,101.13,0.0018725356785580516
1359,45,61500,-0.5870150327682495,161299,0.0003,0.0001079783687600866,1.7472242999999998,1.5275509357452393,456,101.34,0.0018958664732053876
1370,45,61959,-0.5746349692344666,161758,0.0003,0.00023283256450667977,1.7705615399999999,-0.11816944181919098,460,102.15,0.0019486782839521766
1379,45,62332,-0.5833401679992676,162131,0.0003,0.0005298145115375519,1.76759203,1.4980872869491577,464,102.04,0.00192954670637846
1388,45,62731,-0.5981894731521606,162530,0.0003,0.00011181585432495922,1.76806889,0.3289121091365814,468,102.31,0.0019153334433212876
1398,45,63113,-0.554875373840332,162912,0.0003,0.00012097353464923799,1.74536567,0.0025509893894195557,472,101.19,0.0019561839289963245
1407,45,63500,-0.6043781042098999,163299,0.0003,0.0009547200752422214,1.7455890200000002,0.7573698163032532,476,101.31,0.0019576780032366514
1418,45,63957,-0.5962013006210327,163756,0.0003,0.0026053967885673046,1.76669671,-1.5125677585601807,480,102.24,0.0019633956253528595
1428,45,64363,-0.6088308095932007,164162,0.0003,0.00010540909715928137,1.7709653899999995,-0.44994431734085083,484,102.47,0.001947850571013987
1436,45,64729,-0.580231785774231,164528,0.0003,0.0021234476007521152,1.7723181100000003,-0.8226296901702881,488,102.29,0.0019430341199040413
1446,45,65124,-0.6183152794837952,164923,0.0003,0.000941924809012562,1.7551297599999998,2.5265352725982666,492,101.45,0.0019493520958349109
1455,45,65500,-0.6046057343482971,165299,0.0003,0.000195417640497908,1.7579853699999999,1.8752679824829102,496,101.47,0.0020021514501422644
1466,44,65980,-0.6304823160171509,165779,0.0003,9.438704000785947e-05,1.7808223600000002,-1.787907600402832,500,102.28,0.0019458935130387545
1475,44,66355,-0.601286768913269,166154,0.0003,0.00023954348580446094,1.7626380199999998,-1.051048994064331,504,101.16,0.001984971109777689
1485,44,66725,-0.6184672117233276,166524,0.0003,0.000140494346851483,1.7594969599999997,0.16066193580627441,508,101.06,0.0020550263579934835
1494,44,67113,-0.6226291656494141,166912,0.0003,0.00012651256110984832,1.76004889,0.9903178811073303,512,101.13,0.002045906148850918
1504,44,67500,-0.6036309003829956,167299,0.0003,0.0019194900523871183,1.73882902,0.3761429190635681,516,100.0,0.002053713658824563
1515,44,67980,-0.5949593782424927,167779,0.0003,7.680318230995908e-05,1.7381015600000003,-1.008668065071106,520,99.97,0.0020122153218835592
1524,44,68371,-0.6003404855728149,168170,0.0003,0.002228794852271676,1.74023872,-1.4434864521026611,524,100.26,0.0020013267640024424
1533,44,68733,-0.6105159521102905,168532,0.0003,0.0032523430418223143,1.7412862599999999,2.504251480102539,528,100.0,0.002002596389502287
1542,44,69116,-0.5966410636901855,168915,0.0003,0.001493237679824233,1.7343548300000002,-2.752633571624756,532,99.9,0.001997887622565031
1552,44,69500,-0.6316331028938293,169299,0.0003,8.74054676387459e-05,1.7307018299999999,1.6569867134094238,536,100.0,0.0019849834498018026
1562,44,69964,-0.6257951259613037,169763,0.0003,0.0034551743883639574,1.7274504300000004,2.3714070320129395,540,99.93,0.0020391615107655525
1572,44,70333,-0.6048116683959961,170132,0.0003,0.0016041409689933062,1.71986867,0.5367370843887329,544,99.91,0.002048904076218605
1581,44,70733,-0.6207364797592163,170532,0.0003,0.00010403705528005958,1.7228796400000002,-0.7078407406806946,548,99.96,0.002094253432005644
1590,44,71112,-0.6310316324234009,170911,0.0003,0.0002074690128210932,1.7209234699999998,-0.45796507596969604,552,100.01,0.0021040858700871468
1600,44,71500,-0.6319255828857422,171299,0.0003,0.00011186346819158643,1.71815687,-1.1038800477981567,556,100.0,0.0020764474757015705
1610,44,71970,-0.6122097373008728,171769,0.0003,0.00012601562775671482,1.7145198400000001,0.4089794158935547,560,100.11,0.0020522824488580227
1619,44,72358,-0.6394925117492676,172157,0.0003,8.644081390229985e-05,1.71842542,-1.0862547159194946,564,100.26,0.0020411363802850246
1628,44,72733,-0.6306323409080505,172532,0.0003,0.00012694552424363792,1.72041845,0.602817177772522,568,100.02,0.0020431187003850937
1637,44,73110,-0.6272552013397217,172909,0.0003,0.0010650020558387041,1.7151422399999998,0.4043518900871277,572,99.97,0.002044370863586664
1647,44,73500,-0.6361408233642578,173299,0.0003,9.383403812535107e-05,1.71593456,-2.044219493865967,576,100.0,0.002092360984534025
1658,44,73965,-0.6438367366790771,173764,0.0003,0.0015599991893395782,1.71513372,-1.9692355394363403,580,100.08,0.0020540053956210613
1668,44,74358,-0.6311415433883667,174157,0.0003,0.0006359261460602283,1.7129194200000004,-0.052550554275512695,584,99.95,0.0020208009518682957
1678,44,74749,-0.6286715269088745,174548,0.0003,0.0005745269590988755,1.71912941,-1.293830394744873,588,100.2,0.0020875425543636084
1687,44,75107,-0.6288543343544006,174906,0.0003,0.0017028988804668188,1.71652963,-0.5687119960784912,592,99.83,0.0020978155080229044
1697,44,75500,-0.6235362887382507,175299,0.0003,0.0005223294720053673,1.7126484700000004,-0.7128329277038574,596,100.0,0.0020944352727383375
1707,44,75962,-0.6233538389205933,175761,0.0003,9.17236611712724e-05,1.71192963,1.4685113430023193,600,99.82,0.0021122638136148453
1717,44,76361,-0.6127637028694153,176160,0.0003,0.00010961890075122938,1.7127970199999998,0.8089906573295593,604,100.06,0.0020743366330862045
1727,44,76733,-0.6603099703788757,176532,0.0003,0.0003107970696873963,1.7142821100000003,1.6224169731140137,608,100.08,0.0020721734035760164
1736,44,77120,-0.6446110010147095,176919,0.0003,8.698323654243723e-05,1.7166075600000001,-0.5291904807090759,612,100.07,0.002091328613460064
1745,44,77500,-0.6351299285888672,177299,0.0003,8.14962841104716e-05,1.7154788300000001,1.1269230842590332,616,100.0,0.0021091445814818144
1756,44,77993,-0.6387912034988403,177792,0.0003,0.0037781463470309973,1.7186431999999998,-0.7005336284637451,620,100.13,0.002044494729489088
1765,44,78351,-0.6327398419380188,178150,0.0003,0.00012879223504569381,1.7182277699999997,-2.1902341842651367,624,99.8,0.0020127163734287024
1774,44,78741,-0.6314373016357422,178540,0.0003,9.765918366611004e-05,1.7180425699999997,-0.4255720376968384,628,100.08,0.001997759100049734
1784,44,79119,-0.6595041751861572,178918,0.0003,0.00414756964892149,1.72506574,0.20938754081726074,632,100.03,0.0020158167462795973
1793,44,79500,-0.624024510383606,179299,0.0003,8.783712110016495e-05,1.7296260800000005,0.40033698081970215,636,100.0,0.0020517774391919374
1804,44,79983,-0.6606086492538452,179782,0.0003,9.028271597344428e-05,1.7357533500000002,2.544508218765259,640,100.19,0.002070725429803133
1813,44,80372,-0.652976930141449,180171,0.0003,8.176387927960604e-05,1.74783051,0.46342718601226807,644,100.39,0.002091592876240611
1822,44,80731,-0.6617706418037415,180530,0.0003,0.00015508479555137455,1.74764745,0.15943723917007446,648,99.98,0.0020389475394040346
1832,44,81100,-0.658667266368866,180899,0.0003,8.611122757429257e-05,1.7437338,0.3645086884498596,652,99.88,0.0020687140058726072
1841,44,81500,-0.6739807724952698,181299,0.0003,0.00013125523400958627,1.7481137599999998,0.2376759946346283,656,100.0,0.0020892892498522997
1851,44,81938,-0.6395255327224731,181737,0.0003,0.003015577094629407,1.74700054,1.045432686805725,660,99.68,0.002093586605042219
1861,44,82365,-0.6666296124458313,182164,0.0003,0.0001148080627899617,1.7525099,0.36987820267677307,664,100.07,0.00206170161254704
1870,44,82744,-0.6320232152938843,182543,0.0003,0.00045880855759605765,1.75912231,-2.9890456199645996,668,100.11,0.0020499848760664463
1879,44,83120,-0.6515366435050964,182919,0.0003,0.0010982572566717863,1.7667206500000003,2.939215898513794,672,100.1,0.0021138284355401993
1889,44,83500,-0.6423903703689575,183299,0.0003,0.0022619329392910004,1.77138719,-0.6978628635406494,676,100.0,0.00212659640237689
1899,44,83957,-0.6729952096939087,183756,0.0003,0.001445481088012457,1.7738435500000003,0.5414093732833862,680,99.92,0.0021146954968571663
1909,44,84355,-0.6586145162582397,184154,0.0003,0.00015187716053333133,1.77767987,0.5235075354576111,684,99.97,0.002095099538564682
1918,44,84725,-0.6481771469116211,184524,0.0003,0.002760344184935093,1.7670483800000003,-0.3239399194717407,688,99.76,0.002115808194503188
1928,44,85123,-0.6559228897094727,184922,0.0003,0.00235099159181118,1.7712728399999997,-0.32299691438674927,692,100.16,0.0021176631562411785
1937,44,85500,-0.6750015020370483,185299,0.0003,0.002037546830251813,1.77976913,-0.7639189958572388,696,100.0,0.0021054730750620365
1947,44,85975,-0.6577311754226685,185774,0.0003,0.0025226962752640247,1.78292973,-0.7900069355964661,700,100.13,0.0021284192334860563
1956,44,86350,-0.6496934294700623,186149,0.0003,0.0022019478492438793,1.7876574100000002,-0.016888082027435303,704,99.89,0.0020784365478903055
1966,44,86736,-0.6561050415039062,186535,0.0003,0.00016995685291476548,1.7847612000000002,-1.2326159477233887,708,100.03,0.0020671640522778034
1975,44,87115,-0.6692072153091431,186914,0.0003,9.163582581095397e-05,1.7872184199999999,1.445174217224121,712,99.95,0.002036726102232933
1984,44,87500,-0.7136836051940918,187299,0.0003,0.0005653901025652885,1.7920283399999997,0.3671530783176422,716,100.0,0.002062679035589099
1995,44,87983,-0.6632317304611206,187782,0.0003,0.00019004245405085385,1.79203282,-0.5976793766021729,720,99.9,0.002105596475303173
2004,44,88358,-0.6543002128601074,188157,0.0003,0.0006420852150768042,1.7932373799999999,0.20915132761001587,724,100.07,0.00213017500936985
2013,44,88749,-0.6545490026473999,188548,0.0003,0.0001078825443983078,1.79904454,0.46894049644470215,728,100.08,0.002117421943694353
2022,44,89109,-0.657024621963501,188908,0.0003,0.00019351493392605335,1.79717611,0.042355239391326904,732,99.9,0.0020955190993845463
2031,44,89500,-0.6567134857177734,189299,0.0003,7.159133383538574e-05,1.79777302,-0.1864820122718811,736,100.0,0.002148629166185856
2041,44,89952,-0.6772592067718506,189751,0.0003,0.002026199596002698,1.7957664400000002,-2.060948610305786,740,99.69,0.0021155427675694227
2051,44,90352,-0.6641393899917603,190151,0.0003,8.30837307148613e-05,1.79682063,-0.6284972429275513,744,99.8,0.0021410882472991943
2060,44,90739,-0.6814214587211609,190538,0.0003,0.0008420522208325565,1.7991754899999999,0.14657752215862274,748,100.08,0.002178661525249481
2070,44,91109,-0.6553611755371094,190908,0.0003,0.004508049692958593,1.8116090200000001,-1.4556617736816406,752,100.09,0.0021555188577622175
2080,43,91500,-0.6753792762756348,191299,0.0003,0.0018875256646424532,1.8075642099999998,-0.1465987265110016,756,100.0,0.002140686148777604
2091,43,91972,-0.6924644112586975,191771,0.0003,9.727825818117708e-05,1.8136804099999997,-0.5545169115066528,760,100.34,0.0021520054433494806
2100,43,92377,-0.6943329572677612,192176,0.0003,0.0025771912187337875,1.8184099099999997,2.335236072540283,764,100.12,0.0021529621444642544
2113,43,92739,-0.649965763092041,192538,0.0003,0.0002420016680844128,1.81344774,-0.4268510639667511,768,99.95,0.002196293557062745
2126,43,93106,-0.6609468460083008,192905,0.0003,0.000865600595716387,1.8078524599999997,-1.5714221000671387,772,99.86,0.0022003997582942247
2139,43,93500,-0.6594550609588623,193299,0.0003,0.00021069118520244956,1.80795164,1.1391332149505615,776,100.0,0.0021394381765276194
2151,43,93979,-0.698502779006958,193778,0.0003,0.00011430615995777771,1.81039407,0.7519855499267578,780,100.22,0.0021707990672439337
2160,43,94359,-0.6914945840835571,194158,0.0003,0.003499666228890419,1.8092917800000001,-2.3681325912475586,784,100.04,0.002152170753106475
2170,43,94739,-0.6922079920768738,194538,0.0003,0.000867192167788744,1.81736675,0.8152015805244446,788,100.14,0.0021182044874876738
2180,43,95121,-0.7106233239173889,194920,0.0003,0.001613691681995988,1.8204076900000001,0.2793238162994385,792,99.98,0.0021135343704372644
